,document_title,question_text,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,yes_no_answer
0,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,['Therefore sign'],['what do the 3 dots mean in math'],", the therefore sign ( ∴ ) is generally used before a logical consequence , such as the conclusion of a syllogism",", the therefore sign","before a logical consequence , such as the conclusion of a syllogism",the therefore sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
2,['Watchman (law enforcement)'],['when was the writ watch invented by who'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
3,['Photograph (Ringo Starr song)'],['who wrote the song photograph by ringo starr'],musician Ringo Starr,with George Harrison,<Td> Richard Starkey,", George Harrison",musician Ringo Starr,with George Harrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
4,['Super Bowl 50 halftime show'],['who is playing the halftime show at super bowl 2016'],group Coldplay with special guest performers Beyoncé and Bruno Mars,group Coldplay,performers Beyoncé,and Bruno Mars,the British rock group Coldplay with special guest performers Beyoncé and Bruno Mars,group Coldplay,performers Beyoncé,and Bruno Mars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
5,['Matt Lanter'],['star wars the clone wars anakin voice actor'],<P> Matthew MacKendree `` Matt '' Lanter,<P> Matthew MacKendree `` Matt '' Lanter,<P> Matthew MacKendree `` Matt '' Lanter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
6,['A Whiter Shade of Pale'],['meaning behind the song whiter shade of pale'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
7,['Globe'],['where is most distortion found on a globe'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
8,['List of A Certain Scientific Railgun episodes'],['to aru kagaku no railgun s episode 3'],`` Project Radio Noise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
9,['List of Seraph of the End chapters'],['when do new chapters of owari no seraph come out'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
10,['Surname'],['where does the last name painter come from'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
11,['Dominance (genetics)'],['dominant alleles are always the most common allele in a population'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NO NONE NONE NO
12,['List of woods'],['an eastern red cedar is a hardwood or softwood'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
13,['Ahmedabad textile industry'],['what are the challenges faced by the cotton textile industry of ahmedabad'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
14,['2017 BBC Sports Personality of the Year Award'],['who won the 2017 sports personality of the year'],<Td> Mo Farah,<Td> Mo Farah,<Td> Mo Farah,<Td> Mo Farah,<Td> Mo Farah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
15,"[""I've Got the Joy Joy Joy Joy""]",['i got the joy joy joy down in my heart lyrics'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
16,['Sports in the Las Vegas metropolitan area'],['is there a basketball team in las vegas'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES YES YES YES YES
17,['Windsor Castle'],['who lives in the grounds of windsor castle'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
18,['List of protected areas of the Philippines'],['list of environmentally critical areas in the philippines'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
19,"['After the Bath, Woman Drying Herself']",['after the bath woman drying herself elements of design'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
20,['Super-G'],['what’s the difference between downhill and super g'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
21,['World Economic Forum'],['where was the world economic forum held this year'],"in Davos , a mountain resort in Graubünden , in the eastern Alps region of Switzerland","in Davos , a mountain resort in Graubünden , in the eastern Alps region of Switzerland",at Davos,at Davos,"in Davos , a mountain resort in Graubünden , in the eastern Alps region of Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
22,['Redwood National and State Parks'],['where are the giant redwoods located in california'],<Td> Humboldt County,& Del Norte County,<Td> Humboldt County,& Del Norte County,is from the northern California coast north to the southern Oregon Coast,along the coast of northern California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
23,['List of Premier League players with 500 or more appearances'],['who has made the most premier league appearances'],Gareth Gareth Barry,", Gareth Barry",Gareth Gareth Barry,", Gareth Barry",Gareth Gareth Barry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
24,['List of Chief Ministers of West Bengal'],['who was the first chief minister of west bengal'],was Prafulla Chandra Ghosh of the Indian National Congress,was Prafulla Chandra Ghosh,was Prafulla Chandra Ghosh,was Prafulla Chandra Ghosh,<Td> Prafulla Chandra Ghosh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE NONE NONE NONE NONE
